process_id,solution_id,device_fab_id,solution_treatment_id,substrate_pretreat_id,film_deposition_id,postprocess_id
306,112,32,,,50,25.0
307,112,32,,,51,25.0
308,158,47,,,52,
309,159,48,,,53,34.0
310,159,48,,,54,34.0
311,160,48,,,53,34.0
312,160,48,,,54,34.0
313,161,49,,,55,
314,161,49,2.0,,55,
315,162,50,3.0,12.0,56,35.0
316,163,50,3.0,12.0,56,35.0
317,164,50,3.0,12.0,56,35.0
318,165,50,3.0,12.0,56,35.0
319,162,50,3.0,13.0,56,35.0
320,166,50,3.0,13.0,56,35.0
321,163,50,3.0,13.0,56,35.0
322,164,50,3.0,13.0,56,35.0
323,165,50,3.0,13.0,56,35.0
324,167,51,4.0,12.0,53,35.0
325,168,51,4.0,12.0,53,35.0
326,169,52,4.0,12.0,53,35.0
327,170,52,4.0,12.0,53,35.0
328,171,52,4.0,12.0,53,35.0
329,172,52,4.0,12.0,53,35.0
330,173,52,4.0,12.0,53,35.0
331,174,52,4.0,12.0,53,35.0
332,175,52,4.0,12.0,53,35.0
333,176,52,4.0,12.0,53,35.0
334,177,52,4.0,12.0,53,35.0
335,178,52,4.0,12.0,53,35.0
336,179,52,4.0,12.0,53,35.0
337,180,52,4.0,12.0,53,35.0
338,181,52,4.0,12.0,53,35.0
339,182,52,4.0,12.0,53,35.0
340,167,52,4.0,12.0,57,35.0
341,168,52,4.0,12.0,57,35.0
342,169,52,4.0,12.0,57,35.0
343,170,52,4.0,12.0,57,35.0
344,171,52,4.0,12.0,57,35.0
345,172,52,4.0,12.0,57,35.0
346,173,52,4.0,12.0,57,35.0
347,174,52,4.0,12.0,57,35.0
348,173,53,4.0,12.0,53,35.0
349,173,54,4.0,12.0,53,35.0
350,173,55,4.0,12.0,53,35.0
351,170,53,4.0,12.0,53,35.0
352,170,54,4.0,12.0,53,35.0
353,170,55,4.0,12.0,53,35.0
354,167,53,4.0,12.0,53,35.0
355,167,54,4.0,12.0,53,35.0
356,167,55,4.0,12.0,53,35.0
357,167,52,4.0,12.0,53,35.0
358,178,53,4.0,12.0,53,35.0
359,178,54,4.0,12.0,53,35.0
360,178,55,4.0,12.0,53,35.0
361,175,53,4.0,12.0,53,35.0
362,175,54,4.0,12.0,53,35.0
363,175,55,4.0,12.0,53,35.0
364,181,53,4.0,12.0,53,35.0
365,181,54,4.0,12.0,53,35.0
366,181,55,4.0,12.0,53,35.0
367,183,56,,,2,
368,183,56,5.0,,2,
369,183,56,6.0,,2,
370,183,56,7.0,,2,
371,183,56,8.0,,2,
372,183,56,9.0,,2,
373,183,56,10.0,,2,
374,183,56,11.0,,2,
375,183,56,12.0,,2,
376,183,56,13.0,,2,
377,183,56,14.0,,2,
378,184,56,,,2,
379,184,56,5.0,,2,
380,184,56,6.0,,2,
381,184,56,7.0,,2,
382,184,56,8.0,,2,
383,184,56,9.0,,2,
384,185,57,,12.0,58,36.0
385,185,57,,12.0,59,37.0
386,185,57,,12.0,59,38.0
387,185,57,,12.0,59,39.0
388,185,57,,12.0,58,40.0
389,185,57,,12.0,58,41.0
390,185,57,,12.0,58,42.0
391,185,58,,12.0,58,36.0
392,185,58,,12.0,58,37.0
393,185,58,,12.0,58,38.0
394,185,58,,12.0,58,39.0
395,185,58,,12.0,58,40.0
396,185,58,,12.0,58,41.0
397,185,58,,12.0,58,42.0
398,185,57,,12.0,58,43.0
399,185,57,,12.0,58,44.0
400,185,57,,12.0,58,45.0
401,185,57,,12.0,58,46.0
402,185,57,,12.0,58,47.0
403,185,57,,12.0,58,48.0
404,185,58,,12.0,58,43.0
405,185,58,,12.0,58,44.0
406,185,58,,12.0,58,45.0
407,185,58,,12.0,58,46.0
408,185,58,,12.0,58,47.0
409,185,58,,12.0,58,48.0
410,186,56,,,2,
411,186,56,15.0,,2,
412,186,56,16.0,,2,
413,186,56,17.0,,2,
414,186,56,18.0,,2,
415,186,56,19.0,,2,
416,186,56,20.0,,2,
417,187,59,21.0,,60,49.0
418,188,59,21.0,,60,49.0
419,189,59,21.0,,60,49.0
420,190,59,21.0,,60,49.0
421,191,59,21.0,,60,49.0
422,192,60,,12.0,61,
423,193,60,,12.0,61,
424,194,60,,12.0,61,
425,195,60,,12.0,61,
426,196,60,,12.0,61,
427,197,60,,12.0,61,
428,198,60,,12.0,61,
429,199,60,,12.0,61,
430,200,60,,12.0,61,
431,201,60,,12.0,61,
432,202,60,,12.0,61,
433,203,61,22.0,12.0,62,50.0
434,204,61,22.0,12.0,62,50.0
435,205,61,22.0,12.0,62,50.0
436,203,61,22.0,12.0,62,
437,204,61,22.0,12.0,62,
438,205,61,22.0,12.0,62,
439,206,61,22.0,12.0,62,
440,207,61,22.0,12.0,62,
441,208,61,22.0,12.0,62,
442,209,61,22.0,12.0,57,
443,210,61,22.0,12.0,57,
444,211,61,22.0,12.0,57,
445,212,62,21.0,3.0,57,
446,213,62,23.0,3.0,57,
447,214,62,24.0,3.0,57,
448,215,62,25.0,3.0,57,
449,216,63,,,36,51.0
450,216,64,,,36,51.0
451,216,65,,,36,51.0
452,216,66,,,36,51.0
453,216,63,,,36,
454,216,64,,,36,
455,216,65,,,36,
456,216,66,,,36,
457,217,67,,,24,
458,218,68,,12.0,53,
459,219,68,,12.0,53,
460,220,68,,12.0,53,
461,221,68,,12.0,53,
462,222,68,,12.0,64,
463,223,68,,12.0,64,
464,224,69,,,65,
465,225,69,,,65,
466,226,69,,,65,
467,226,69,,12.0,65,
468,224,69,,,58,
469,225,69,,,58,
470,226,69,,,58,
471,226,69,,12.0,58,
472,227,69,,,57,
473,228,69,,,57,
474,229,69,,,57,
475,229,69,,12.0,57,
476,229,69,,12.0,66,52.0
477,230,70,,12.0,67,
478,231,70,,12.0,67,
479,232,70,,12.0,67,
480,233,70,,12.0,67,
481,234,70,,,68,
482,235,70,,,68,
483,236,70,,,68,
484,237,70,,,68,
485,238,70,26.0,12.0,45,
486,239,70,26.0,12.0,45,
487,240,70,26.0,12.0,45,
488,241,70,26.0,12.0,45,
489,242,70,26.0,12.0,45,
490,243,71,,12.0,20,
491,243,71,,12.0,20,44.0
492,244,71,,12.0,20,
493,244,71,,12.0,20,44.0
494,245,71,,12.0,20,
495,245,71,,12.0,20,44.0
496,246,71,,12.0,20,
497,246,71,,12.0,20,44.0
498,247,72,27.0,,70,
499,248,72,27.0,,70,
